Year,All forcings,Human,Natural,Anthropogenic tropospheric aerosol,Greenhouse gases,Land use,Orbital changes,Ozone,Solar,Volcanic,Error
1919,0.175107271,0.066933948,0.138717635,-0.007407358,0.111475784,0.011252406,0.002721374,-0.008899058,0.024021781,0.067242665,0.2
1920,0.167150371,0.050381748,0.096502935,0.094606942,0.062305784,0.047475406,-0.040307726,-0.015799258,0.010339281,0.052936965,0.2
1921,0.134502571,0.051055248,0.088650035,-0.032378858,0.088094184,-0.021349694,-0.047773126,0.043442242,-0.027393419,0.115389265,0.2
1922,0.168072171,0.063459148,0.086433035,0.013505842,0.098025984,-0.016741894,-0.046793126,0.002654142,-0.013753419,0.126194165,0.2
1923,0.215035271,0.090074848,0.108654535,0.003979242,0.117286684,0.011732006,-0.078765126,0.074051542,0.044648281,0.152217565,0.2
1924,0.199855171,0.063663848,0.116332735,0.028786042,0.098643084,0.013561906,-0.039420026,0.021624142,0.005585081,0.079138165,0.2
1925,0.190878871,0.124521648,0.199540035,0.007082542,0.125114484,-0.012330494,-0.053013326,0.030505242,0.001915181,0.115641965,0.2
1926,0.159671971,0.122615348,0.155047635,-0.024259758,0.157118384,0.031664006,-0.035723026,0.017314042,0.033363281,0.105726165,0.2
1927,0.207048271,0.082349648,0.115011235,-0.010059958,0.132949884,-0.080911394,0.003839274,0.037951142,-0.039740319,0.094704465,0.2
1928,0.206229271,0.100389848,0.089540635,-0.029115458,0.122356584,0.005982006,-0.021838526,0.037262942,0.007272381,0.137804665,0.2
1929,0.180239771,0.118756048,0.100735335,0.006589842,0.226946484,0.021346006,-0.024728226,-0.013664358,-0.017041019,0.097104565,0.2
1930,0.209091771,0.082059748,0.126268835,-0.038525658,0.147744184,-0.044305094,-0.032327326,0.018071742,0.004815481,0.112747365,0.2
1931,0.210943171,0.104117248,0.067424035,-0.016341358,0.145779284,-0.008464294,-0.004675526,0.028597542,0.006535281,0.062705265,0.2
1932,0.209370371,0.112092648,0.052399335,-0.061575158,0.203901484,-0.012166594,-0.044672826,0.037407342,-0.021043319,0.043279865,0.2
1933,0.198443471,0.099663148,0.126137535,-0.044175358,0.233468884,0.029662406,-0.016986126,0.038470842,-0.006788219,0.050698665,0.2
1934,0.253859371,0.102299648,0.137412535,-0.014261858,0.194374284,0.030559106,-0.006110626,0.056852442,-0.031955419,0.108783565,0.2
1935,0.213438971,0.112881748,0.150322835,-0.048989758,0.178266984,-0.029492994,-0.050056826,0.033378542,0.006748981,0.069096365,0.2
1936,0.230387371,0.119773748,0.111096035,-0.059881658,0.221223384,-0.010289994,-0.017686226,0.018833142,0.032590081,0.057722165,0.2
1937,0.261993471,0.145348748,0.141252235,-0.065200858,0.209428684,-0.059960194,0.016109374,0.057745942,0.028668781,0.078355065,0.2
1938,0.285431071,0.110016048,0.176251135,-0.030193958,0.233749784,-0.001045194,-0.019365526,0.078629542,0.000412681,0.064391465,0.2
1939,0.282072671,0.091818648,0.173677635,-0.032239758,0.203229984,0.037291606,-0.023814426,0.032872542,-0.008792419,0.060080565,0.2
1940,0.292782071,0.127180748,0.137121735,-0.038627158,0.195738484,0.011468806,0.000350974,0.017116942,0.013015081,0.150422465,0.2
1941,0.353201171,0.181232148,0.141982835,-0.060092458,0.240861084,-0.015682394,0.008527674,0.059638742,-0.002612419,0.078773165,0.2
1942,0.326829871,0.129792648,0.096340635,-0.043845558,0.246303684,-0.051740194,0.008851074,0.046907042,-0.019202719,0.059660765,0.2
1943,0.303191771,0.067364348,0.113033935,-0.040242158,0.267604084,-0.008077094,-0.008065326,0.073991742,0.015145981,0.111987965,0.2
1944,0.269584971,0.104817448,0.177514235,-0.065608058,0.254000784,-0.035953694,-0.036647326,0.095588642,-0.016781419,0.076768765,0.2
1945,0.269587971,0.124946648,0.176160735,-0.060447458,0.230117184,-0.039287294,-0.026263826,0.097977042,-0.050203219,0.066979665,0.2
1946,0.240627371,0.195991048,0.184505035,-0.059305958,0.278873284,-0.030849794,-0.047749826,0.077490742,-0.026783419,0.058239865,0.2
1947,0.261785371,0.196053048,0.205407335,-0.040670358,0.338120584,-0.003531094,-0.077339326,0.087153342,0.014564081,0.074028065,0.2
1948,0.279726371,0.154354648,0.174839335,-0.083494158,0.272012784,-0.045203794,-0.034197226,0.053360742,-0.008138619,0.091587865,0.2
1949,0.260497971,0.113881248,0.199491535,-0.096746958,0.286967584,-0.057713394,0.009933174,0.100886942,0.021474581,0.115226065,0.2
1950,0.263433171,0.152764648,0.201116935,-0.092945958,0.248122084,-0.050862794,-0.033634226,0.072338842,0.057072181,0.140972265,0.2
1951,0.225907971,0.153008048,0.180130035,-0.105676058,0.227728984,-0.044771394,-0.059163126,0.046850142,0.001734681,0.097431465,0.2
1952,0.206774271,0.147570748,0.128697535,-0.098960358,0.288265284,-0.011628994,0.000732774,0.041251842,0.050317781,0.064973665,0.2
1953,0.230507771,0.133284948,0.138681335,-0.108591858,0.259835784,-0.051801094,-0.003614126,0.080048242,0.039466781,0.123807865,0.2
1954,0.213079471,0.138082548,0.152373135,-0.153297558,0.308064884,-0.041487294,-0.033781326,0.038909742,-0.009818419,0.139372065,0.2
1955,0.270353271,0.109951648,0.128806635,-0.126098658,0.252604684,-0.052463494,-0.040326826,0.041648742,0.018734481,0.108183865,0.2
1956,0.254776071,0.085276548,0.186464435,-0.146774558,0.258740984,-0.098774994,-0.035887026,0.073679942,0.111044181,0.127334865,0.2
1957,0.283843571,0.096828248,0.172745335,-0.147359358,0.335009484,-0.049412594,-0.021196326,0.110082342,0.096034281,0.134371465,0.2
1958,0.328736071,0.124352448,0.162591635,-0.157775858,0.316881784,-0.052489294,-0.024720826,0.103063042,0.045857881,0.171101465,0.2
1959,0.317909071,0.146819448,0.159456035,-0.159188958,0.296365784,-0.020954194,-0.065115726,0.081907142,0.029524581,0.164591365,0.2
1960,0.271800971,0.159526048,0.203079435,-0.159084458,0.370744284,-0.041290094,-0.017017426,0.073982942,0.009911681,0.111720265,0.2
1961,0.337102471,0.203012048,0.183632735,-0.153365358,0.350896684,-0.046691194,-0.027202926,0.099859342,0.058132181,0.039763565,0.2
1962,0.340560271,0.153044048,0.170819235,-0.143422858,0.387010284,-0.066695294,-0.034575926,0.091160142,0.058604381,0.045353965,0.2
1963,0.273542771,0.183275948,0.124478535,-0.153209358,0.386930184,-0.068449394,0.005612174,0.051303642,0.066064381,-0.025885835,0.2
1964,0.089030971,0.188789948,-0.067912065,-0.172549058,0.410041584,-0.057363094,0.031581874,0.061357142,0.023182981,-0.123657935,0.2
1965,0.102626271,0.221861648,-0.044955165,-0.182792258,0.356249184,-0.115522694,0.014090974,0.086037342,0.023704681,-0.113114435,0.2
1966,0.165946771,0.168464148,0.021555235,-0.179923058,0.366277284,-0.109449894,0.025257274,0.077028142,0.028794581,-0.115437535,0.2
1967,0.214004471,0.170014848,0.087200635,-0.191020958,0.403575584,-0.090877094,0.033501574,0.089562042,0.003816781,-0.050461235,0.2
1968,0.259432771,0.221020348,0.065225235,-0.186431458,0.450470084,-0.076668994,-0.009737226,0.120420742,0.052648181,-0.028596635,0.2
1969,0.248931271,0.286338148,0.074496535,-0.169566458,0.498347684,-0.077576094,-0.033764226,0.093696042,0.034178681,-0.021957735,0.2
1970,0.298450971,0.268375248,0.072738635,-0.190623558,0.502290284,-0.093507994,-0.028334726,0.062253342,0.025761581,-0.035171735,0.2
1971,0.334080571,0.304981248,0.083213435,-0.183982258,0.564848384,-0.111307994,0.002810574,0.094228342,0.023244481,0.072957965,0.2
1972,0.375541971,0.300416348,0.147594135,-0.195616358,0.589613284,-0.098196494,0.018723774,0.091058142,0.035961281,0.087124265,0.2
1973,0.395301171,0.281357848,0.155216935,-0.222904058,0.565691684,-0.118524294,-0.008591126,0.103114642,0.024401181,0.106899665,0.2
1974,0.397638571,0.306622648,0.158201635,-0.193667558,0.576373984,-0.125885094,0.006415874,0.071421042,0.000183481,0.075229965,0.2
1975,0.346713571,0.304409548,0.101479835,-0.232097758,0.563352484,-0.048825794,0.035961974,0.056921742,0.009437781,0.035773365,0.2
1976,0.398002971,0.316092048,0.048680635,-0.270751158,0.607194184,-0.039277694,0.018144874,0.082835342,-0.005836819,0.008169465,0.2
1977,0.455862971,0.348998848,0.083103635,-0.230505958,0.610639284,-0.106491494,-0.001360026,0.091796342,0.048615781,0.093676965,0.2
1978,0.461859871,0.325740148,0.116838535,-0.222010558,0.612692784,-0.069750494,0.006332174,0.046836442,-0.004581919,0.072644065,0.2
1979,0.494883671,0.359491048,0.142320235,-0.310342358,0.672495284,-0.057285794,0.022266074,0.079332242,0.001822481,0.095759165,0.2
1980,0.520723271,0.428275248,0.139319435,-0.328108458,0.634344584,-0.100998494,-0.010570626,0.142046242,0.013449081,0.091392165,0.2
1981,0.578380571,0.391471148,0.187680635,-0.366245358,0.674876184,-0.067689894,0.028864574,0.105395142,0.013924781,0.059737565,0.2
1982,0.454750071,0.369322748,0.053936135,-0.300449658,0.696976784,-0.082880394,0.083505374,0.153044942,0.004205081,-0.007883835,0.2
1983,0.301418171,0.472003448,-0.194207565,-0.302980158,0.703281184,-0.134554794,0.068670974,0.142224842,0.031118481,-0.216329135,0.2
1984,0.393822071,0.470455248,-0.084776965,-0.364347758,0.703089084,-0.164853394,0.045340574,0.111061742,0.052939281,-0.146893935,0.2
1985,0.466930771,0.484374348,0.008461935,-0.325457458,0.749800284,-0.136928294,0.065683374,0.122414642,0.048573081,-0.041672435,0.2
1986,0.488835571,0.460335348,0.006636935,-0.352488658,0.761931784,-0.100247294,0.044099174,0.097239142,0.012890981,0.020153265,0.2
1987,0.556426271,0.491684048,0.091822835,-0.357994458,0.756497884,-0.132456594,0.015369974,0.103257942,0.040829881,0.029712865,0.2
1988,0.579910171,0.547276148,0.106656435,-0.369777058,0.839701584,-0.068769894,-0.036190326,0.138886242,0.055752881,0.050407965,0.2
1989,0.607964371,0.519290448,0.121762935,-0.366428358,0.808024384,-0.062435094,-0.021439926,0.094514342,0.025403481,0.067742965,0.2
1990,0.663238971,0.558190748,0.139322435,-0.326559758,0.843295684,-0.086642094,0.011150374,0.094810242,0.019556881,0.119054765,0.2
1991,0.617879071,0.561206148,0.045771235,-0.361975058,0.826407984,-0.091960994,-0.050771826,0.118413742,-0.004695019,0.021115665,0.2
1992,0.332544471,0.555497348,-0.265898265,-0.344664258,0.878338084,-0.053366294,0.022778074,0.149005942,0.040674681,-0.291304435,0.2
1993,0.403846771,0.557876148,-0.169730965,-0.385585858,0.906703884,-0.084090894,0.020784874,0.136497942,0.039217181,-0.219219335,0.2
1994,0.498812371,0.549401048,-0.065994765,-0.401448758,0.938533384,-0.097300894,-0.036850126,0.152544842,0.017277381,-0.106983835,0.2
1995,0.626368671,0.594033448,0.044791735,-0.360591458,0.933106884,-0.096888394,-0.017349126,0.146476042,0.020404981,0.008797265,0.2
1996,0.645615571,0.609276748,0.079857835,-0.392293058,0.913118484,-0.081635194,0.049112274,0.170450242,0.060701881,0.088002065,0.2
1997,0.678850771,0.618798548,0.121464035,-0.382144858,0.946621384,-0.103473594,-0.065520726,0.095404542,0.001920281,0.109770865,0.2
1998,0.771937371,0.658472748,0.122494435,-0.391831858,0.954515984,-0.124800394,-0.075089226,0.106186442,0.045433581,0.144470265,0.2
1999,0.809797271,0.672595648,0.171212835,-0.368247458,0.944151584,-0.139219394,-0.018029326,0.124917742,0.056042581,0.139635365,0.2
2000,0.849947171,0.649729848,0.172445135,-0.383268358,0.985283184,-0.110298694,-0.010528626,0.081825242,0.024319181,0.114043065,0.2
2001,0.861898071,0.650704648,0.182095635,-0.437807658,1.027831684,-0.119566894,-0.058672926,0.093930842,0.025691881,0.115589565,0.2
2002,0.876223071,0.685139048,0.200856335,-0.383865758,1.070248684,-0.081382094,-0.048415326,0.121226942,0.030312681,0.120848265,0.2
2003,0.889254471,0.726233648,0.189711435,-0.373014058,1.070515584,-0.097243194,0.012448874,0.079313542,0.033090281,0.131635165,0.2
2004,0.923848271,0.735945148,0.215249735,-0.385690158,1.090935484,-0.122604094,-0.028609926,0.076075142,0.044552181,0.150420265,0.2
2005,0.904725871,0.769968748,0.260406935,-0.406235458,1.127517684,-0.100579694,-0.064880126,0.113586742,0.006328081,0.154158965,0.2
